index,album,entity_album,singer,identity,digit_date,price2,price,song_number,sales_volumn,total-sale,digit_album_img,entity_album_date,diff,entity-platform,entity_price,entity_type,entity_img,entity_thing,singer-img
0,予生,予生,8772乐队,乐队,2017/6/13,2.0,2.0,1,9694,19388.0,https://y.qq.com/music/photo_new/T002R300x300M000000x20mo1x4Ony_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000000ex6tk1YuCTm_3.jpg?max_age=2592000
1,校园寓言故事,校园寓言故事,AR（刘夫阳）,rapper,2019/1/11,9.99,9.99,11,22917,228940.83,https://y.qq.com/music/photo_new/T002R300x300M000001kQI4K0deC7m_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002lMQOY4GAV7f_7.jpg?max_age=2592000
2,幽浮林涧之雾,幽浮林涧之雾,Dark Fount 暗泉,乐队,2022/6/5,15.0,15.0,9,316,4806.0,https://y.qq.com/music/photo_new/T002R300x300M000002ERvG23JV2SD_2.jpg?max_age=2592000,2022/6/6,1.0,淘宝,100.0,CD,https://img2.doubanio.com/view/subject/m/public/s33588843.jpg,大挂旗/T恤/歌词,https://y.qq.com/music/photo_new/T001R300x300M000001h0ZUV3GL1TE_3.jpg?max_age=2592000
3,侘寂罗曼史 Wabi-Sabi Romance,侘寂罗曼史,DBZ,大陆歌手,2022/12/15,12.0,12.0,14,1388,16656.0,https://y.qq.com/music/photo_new/T002R300x300M0000016T8Ia40VNQT_2.jpg?max_age=2592000,2023/2/27,74.0,淘宝/正在现场,100.0,CD,https://img.zhengzai.tv/goods/2023/02/23/431cc2b74e7a469982c1a1307753283a.jpg,歌词/徽章,https://y.qq.com/music/photo_new/T001R300x300M0000044cmgE2KRUFd_7.jpg?max_age=2592000
4,私人派对,私人派对,Gibb-Z,rapper,2020/12/14,10.0,10.0,15,656,6560.0,https://y.qq.com/music/photo_new/T002R300x300M000002jihsc0nUhtX_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000001ksD8N0hkTP0_4.jpg?max_age=2592000
5,《风暴眼》——INTO1'S WONDERLAND序,INTO1'S WONDERLAND,INTO1,组合,2021/7/16,12.0,12.0,6,303479,3641748.0,https://y.qq.com/music/photo_new/T002R300x300M000004gPCj722MGMA_5.jpg?max_age=2592000,2021/12/19,156.0,weecho,169.0,CD,https://scontent-hkg4-1.xx.fbcdn.net/v/t39.30808-6/267699015_4757731887620377_1619057137340203055_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=-PVvtFlW0C8AX_bHoUt&_nc_ht=scontent-hkg4-1.xx&oh=00_AfCshbZZfZvx6YShBgGKGmhtrug27hCDjeBRGIlw2jfr_w&oe=64F25083,写真集/歌词/明信片/小卡/书签/海报,https://y.qq.com/music/photo_new/T001R300x300M000000ezRzE1d5zBZ_2.jpg?max_age=2592000
6,Despacito 缓缓,Despacito 缓缓,Luis Fonsi / 林俊杰,合作歌手,2018/1/26,2.0,2.0,1,1103436,2206872.0,https://y.qq.com/music/photo_new/T002R300x300M000000iHuBG0KsgOh_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000000l6vZY05TG1a_2.jpg?max_age=2592000
7,A Day without Time,A Day without Time,Lumi刘敏,大陆歌手,2023/3/1,18.0,18.0,6,2204,39672.0,https://p1.music.126.net/MZFIHhdZcOVmbKw-6osHeg==/109951168429312857.jpg?param=140y140,,,,,,,,https://p1.music.126.net/YOduPw924y9YKRfCJf9R-g==/109951168457904529.jpg
8,平和世界,平和世界,Mario,大陆歌手,2019/7/29,12.0,12.0,7,5393,64716.0,https://y.qq.com/music/photo_new/T002R300x300M000001YISt213EShK_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000000bEtpe2wLd8W_4.jpg?max_age=2592000
9,怪兽阿佧,怪兽阿佧,Monster KaR (怪兽阿佧),乐队,2017/6/1,12.0,12.0,12,756,9382.0,https://y.qq.com/music/photo_new/T002R300x300M000003hbCNw4ZVVFM_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002NwdGq29f4MQ_3.jpg?max_age=2592000
10,THE FIRST I,THE FIRST I,NEXT,组合,2018/6/21,5.0,5.0,4,864528,4322640.0,https://p1.music.126.net/r1oeSDKbatOCrshT6_SPWg==/109951163366934124.jpg?param=140y140,,,,,,,,https://p2.music.126.net/-Nx0AjRZ6TozdtFjNldzww==/109951163464664753.jpg
11,THE FIRST III,THE FIRST III,NEXT,组合,2018/8/17,5.0,5.0,4,432993,2164965.0,https://p2.music.126.net/R7li9TBWD81TGVv8JIF4cA==/109951163462585557.jpg?param=140y140,,,,,,,,https://p2.music.126.net/-Nx0AjRZ6TozdtFjNldzww==/109951163464664753.jpg
12,THE FIRST II,THE FIRST II,NEXT,组合,2018/7/18,7.0,7.0,6,394585,2762095.0,https://p2.music.126.net/iD6NnhA_f9N3fDnBWHCHvA==/109951163411723722.jpg?param=140y140,,,,,,,,https://p2.music.126.net/-Nx0AjRZ6TozdtFjNldzww==/109951163464664753.jpg
13,NEXT TO YOU,NEXT TO YOU,NEXT,组合,2018/12/7,17.0,17.0,10,212768,3617056.0,https://p2.music.126.net/nuQbaqdgyDi_fcZIB29ung==/109951163707352041.jpg?param=140y140,2019/4/17,131.0,owhat,137.0,CD,https://p2.music.126.net/nuQbaqdgyDi_fcZIB29ung==/109951163707352041.jpg?param=140y140,歌词,https://p2.music.126.net/-Nx0AjRZ6TozdtFjNldzww==/109951163464664753.jpg
14,My Love,My Love,NEXT,组合,2020/9/30,3.0,3.0,1,93785,281355.0,https://p1.music.126.net/rxFVcxg7Kivc-TB6I7MfwA==/109951165351530831.jpg?param=140y140,,,,,,,,https://p2.music.126.net/-Nx0AjRZ6TozdtFjNldzww==/109951163464664753.jpg
15,NEXT BEGINS,NEXT BEGINS,NEXT,组合,2019/11/8,10.0,10.0,4,63699,636990.0,https://p1.music.126.net/Ckdu7TEsqNEuhzNsaEl_kg==/109951164473800861.jpg?param=140y140,,,,,,,,https://p2.music.126.net/-Nx0AjRZ6TozdtFjNldzww==/109951163464664753.jpg
16,TO THE NINES,TO THE NINES,NINE PERCENT,组合,2018/11/20,20.0,20.0,7,1420040,28400800.0,https://y.qq.com/music/photo_new/T002R300x300M000000jXsoU3hj9Wg_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M0000022eo0c4PLCxi_2.jpg?max_age=2592000
17,限定的记忆,限定的记忆,NINE PERCENT,组合,2019/9/26,9.0,9.0,9,930041,8370369.0,https://y.qq.com/music/photo_new/T002R300x300M000000G6dxl0ZbiGt_2.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M0000022eo0c4PLCxi_2.jpg?max_age=2592000
18,Goodbye,Goodbye,NINEONE# / BULL,rapper,2020/9/30,5.0,5.0,2,166655,833275.0,https://p1.music.126.net/Y__DUD6JA7nPrqJ2pN__Mw==/109951165350093928.jpg?param=140y140,,,,,,,,https://p2.music.126.net/ZVtGmr_4x7PjhAiSQRcmbQ==/109951168701040129.jpg
19,Baby I Do,Baby I Do,ONER,组合,2018/12/24,3.0,3.0,3,589817,1769451.0,https://y.qq.com/music/photo_new/T002R300x300M000003mm4ak1OiT9Y_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000001O93tk2nlY9T_5.jpg?max_age=2592000
20,舞会,舞会,ONER,组合,2019/6/14,15.0,15.0,8,169379,2540685.0,https://y.qq.com/music/photo_new/T002R300x300M000002aGyPo2OOc4c_1.jpg?max_age=2592000,2019/11/26,165.0,owaht,68.0,CD,https://y.qq.com/music/photo_new/T002R300x300M000002aGyPo2OOc4c_1.jpg?max_age=2592000,写真集/邀请函/小卡,https://y.qq.com/music/photo_new/T001R300x300M000001O93tk2nlY9T_5.jpg?max_age=2592000
21,恶浪,恶浪,ONER,组合,2020/8/30,15.0,15.0,8,64775,979735.0,https://y.qq.com/music/photo_new/T002R300x300M000000EWsAH2GEzHQ_2.jpg?max_age=2592000,2020/10/1,32.0,坤音商场,368.0,USB,https://y.qq.com/music/photo_new/T002R300x300M000000EWsAH2GEzHQ_2.jpg?max_age=2592000,透明包/封面卡/钥匙/写真集/胸针/歌词/小卡,https://y.qq.com/music/photo_new/T001R300x300M000001O93tk2nlY9T_5.jpg?max_age=2592000
22,见面吧！爱豆-ONER见面会Live特别版礼盒,见面吧！爱豆-ONER见面会Live特别版礼盒,ONER,组合,2018/10/30,5.0,5.0,3,61773,308865.0,https://y.qq.com/music/photo_new/T002R300x300M0000014H2Bi0qtDxu_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000001O93tk2nlY9T_5.jpg?max_age=2592000
23,黑夜闭上双眼(Close my eyes),黑夜闭上双眼(Close my eyes),ONER灵超,组合成员,2019/7/12,3.0,3.0,1,312493,937479.0,https://y.qq.com/music/photo_new/T002R300x300M000000MYjrB194qXT_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000001WXSUt2EttMB_4.jpg?max_age=2592000
24,Rebellious,Rebellious,ONER灵超,组合成员,2021/1/11,8.0,8.0,4,45691,365884.0,https://y.qq.com/music/photo_new/T002R300x300M000003Y8AOv075Nha_2.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000001WXSUt2EttMB_4.jpg?max_age=2592000
25,I'm Kwin,I'm Kwin,ONER木子洋,组合成员,2019/7/12,3.0,3.0,1,302192,906576.0,https://y.qq.com/music/photo_new/T002R300x300M000000mOvp90Ayrml_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003BWlyV3aUKJw_7.jpg?max_age=2592000
26,Your Kwin,Your Kwin,ONER木子洋,组合成员,2021/4/14,8.0,8.0,4,50985,408214.0,https://y.qq.com/music/photo_new/T002R300x300M0000032yRSF2iQQiZ_2.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000003BWlyV3aUKJw_7.jpg?max_age=2592000
27,让大雨落下(Let it rain),让大雨落下(Let it rain),ONER岳岳,组合成员,2019/7/12,3.0,3.0,1,383614,1150842.0,https://y.qq.com/music/photo_new/T002R300x300M000000qxjsh1WGa2S_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002AVFSs3Q7qDD_4.jpg?max_age=2592000
28,G.O.D,G.O.D,ONER岳岳,组合成员,2021/5/28,8.0,8.0,4,69834,558853.0,https://y.qq.com/music/photo_new/T002R300x300M000001w84Sd2r3YPM_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002AVFSs3Q7qDD_4.jpg?max_age=2592000
29,无梦不青春,无梦不青春,OUR,组合,2016/5/10,8.0,8.0,4,28019,274868.0,https://y.qq.com/music/photo_new/T002R300x300M000002TKzzv4BuIUv_1.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000004KEiGC35W3BM_2.jpg?max_age=2592000
30,就要掷地有声的炸裂,就要掷地有声的炸裂,R1SE,组合,2019/8/8,12.0,12.0,6,3083164,36997968.0,https://y.qq.com/music/photo_new/T002R300x300M000002WAzsK3zOPmi_5.jpg?max_age=2592000,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000000EHxwK0G7M6S_2.jpg?max_age=2592000
31,曜为名,曜为名,R1SE,组合,2020/6/12,12.0,12.0,6,554343,6652116.0,https://y.qq.com/music/photo_new/T002R300x300M000003tv78g4brlPE_7.jpg?max_age=2592000,2020/10/16,126.0,R1SE fanclub,120.0,CD,https://y.qq.com/music/photo_new/T002R300x300M000003tv78g4brlPE_7.jpg?max_age=2592000,贴纸/小卡/歌词/写真集,https://y.qq.com/music/photo_new/T001R300x300M000000EHxwK0G7M6S_2.jpg?max_age=2592000
