album,singer,identity,digit-date,price,song-number,total-volumn,total-sale,QQ音乐（张）,QQ音乐（元）,网易云音乐（张）,网易云音乐（元）,酷狗音乐（张）,酷狗音乐（元）,酷我音乐（张）,酷我音乐（元）,咪咕音乐（张）,咪咕音乐（元）,digit-img,entity-date,diff,entity-platform,entity-price,entity-form,实体价格2,形式2,entity-img,实体封面2,entity-thing,微博,singer-img,歌手图片2
予生,8772乐队,乐队,2017/6/13,2,1,9694,19388,8324,16648,0,0,929,1858,441,882,0,0,https://y.qq.com/music/photo_new/T002R300x300M000000x20mo1x4Ony_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000000ex6tk1YuCTm_3.jpg?max_age=2592000,
校园寓言故事,AR（刘夫阳）,rapper,2019/1/11,9.99,11,22917,228940.83,0,0,22917,228940.83,0,0,0,0,0,0,https://y.qq.com/music/photo_new/T002R300x300M000001kQI4K0deC7m_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002lMQOY4GAV7f_7.jpg?max_age=2592000,
幽浮林涧之雾,Dark Fount 暗泉,乐队,2022/6/5,15,9,316,4806,18,276,295,4479,3,51,0,0,0,0,https://y.qq.com/music/photo_new/T002R300x300M000002ERvG23JV2SD_2.jpg?max_age=2592000,2022/6/6,1,淘宝,100,CD,,,https://wx4.sinaimg.cn/large/6646619fgy1h2n8dy1juaj21hc0u047c.jpg,,大挂旗/T恤/歌词本,https://weibo.com/1715888543/LuYLHl8XC,https://y.qq.com/music/photo_new/T001R300x300M000001h0ZUV3GL1TE_3.jpg?max_age=2592000,
侘寂罗曼史 Wabi-Sabi Romance,DBZ,大陆歌手,2022/12/15,12,14,1388,16656,26,312,1362,16344,0,0,0,0,0,0,https://y.qq.com/music/photo_new/T002R300x300M0000016T8Ia40VNQT_2.jpg?max_age=2592000,2023/2/27,74,淘宝/正在现场,100,CD,,,https://img.zhengzai.tv/goods/2023/02/23/431cc2b74e7a469982c1a1307753283a.jpg,,歌词本/徽章,https://weibo.com/7071442976/MuWtd3jcr,https://y.qq.com/music/photo_new/T001R300x300M0000044cmgE2KRUFd_7.jpg?max_age=2592000,
私人派对,Gibb-Z,rapper,2020/12/14,10,15,656,6560,177,1770,443,4430,13,130,12,120,11,110,https://y.qq.com/music/photo_new/T002R300x300M000002jihsc0nUhtX_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000001ksD8N0hkTP0_4.jpg?max_age=2592000,
《风暴眼》——INTO1'S WONDERLAND序,INTO1,组合,2021/7/16,12,6,303479,3641748,282843,3394116,0,0,17683,212196,2953,35436,0,0,https://y.qq.com/music/photo_new/T002R300x300M000004gPCj722MGMA_5.jpg?max_age=2592000,2021/12/19,156,weecho,169,CD,,,https://wx2.sinaimg.cn/large/0065qwrDly1gxizs6qrw5j30m80m8jvf.jpg,,写真集/歌词本/明信片/小卡/书签/海报,https://weibo.com/5576999921/L6KQ1iO0w,https://y.qq.com/music/photo_new/T001R300x300M000000ezRzE1d5zBZ_2.jpg?max_age=2592000,
Despacito 缓缓,Luis Fonsi / 林俊杰,合作歌手,2018/1/26,2,1,1103436,2206872,595785,1191570,390528,781056,106832,213664,9241,18482,1050,2100,https://y.qq.com/music/photo_new/T002R300x300M000000iHuBG0KsgOh_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000000l6vZY05TG1a_2.jpg?max_age=2592000,https://y.qq.com/music/photo_new/T001R300x300M000001BLpXF2DyJe2_13.jpg?max_age=2592000
A Day without Time,Lumi刘敏,大陆歌手,2023/3/1,18,6,2204,39672,0,0,2204,39672,0,0,0,0,0,0,https://p1.music.126.net/MZFIHhdZcOVmbKw-6osHeg==/109951168429312857.jpg,,,,,,,,,,,,https://p1.music.126.net/YOduPw924y9YKRfCJf9R-g==/109951168457904529.jpg,
平和世界,Mario,大陆歌手,2019/7/29,12,7,5393,64716,0,0,5393,64716,0,0,0,0,0,0,https://y.qq.com/music/photo_new/T002R300x300M000001YISt213EShK_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000000bEtpe2wLd8W_4.jpg?max_age=2592000,
怪兽阿佧,Monster KaR (怪兽阿佧),乐队,2017/6/1,12,12,756,9382,675,8402,0,0,72,864,9,116,0,0,https://y.qq.com/music/photo_new/T002R300x300M000003hbCNw4ZVVFM_1.jpg?max_age=2592000,,,,,,,,,,,,https://y.qq.com/music/photo_new/T001R300x300M000002NwdGq29f4MQ_3.jpg?max_age=2592000,
